/home/lang/SteerNet-v2/.venv/bin/python /home/lang/SteerNet-v2/test.py
num_actions:  5
observation_space:  (4, 240, 64)
Using device: cuda
conv_output_size:  8320
conv_output_size:  8320
Starting training for 5000 episodes...
Observation shape: (4, 240, 64)
Episode 920/5000 | Avg Reward: 25.54 | Avg Length: 12 | Epsilon: 0.159 | Loss: 2.1328 | Buffer: 14450 | 1.05s/ep | Elapsed: 18.2m
Episode 930/5000 | Avg Reward: 68.00 | Avg Length: 36 | Epsilon: 0.155 | Loss: 1.8361 | Buffer: 14806 | 2.71s/ep | Elapsed: 18.7m
Episode 940/5000 | Avg Reward: 115.69 | Avg Length: 54 | Epsilon: 0.152 | Loss: 1.5141 | Buffer: 15345 | 3.97s/ep | Elapsed: 19.4m
Episode 950/5000 | Avg Reward: 59.55 | Avg Length: 28 | Epsilon: 0.149 | Loss: 1.3932 | Buffer: 15621 | 2.34s/ep | Elapsed: 19.8m
Episode 960/5000 | Avg Reward: 40.72 | Avg Length: 20 | Epsilon: 0.146 | Loss: 1.3585 | Buffer: 15818 | 1.38s/ep | Elapsed: 20.0m
Episode 970/5000 | Avg Reward: 78.57 | Avg Length: 36 | Epsilon: 0.143 | Loss: 2.4749 | Buffer: 16174 | 2.71s/ep | Elapsed: 20.4m
Episode 980/5000 | Avg Reward: 69.17 | Avg Length: 35 | Epsilon: 0.141 | Loss: 1.9549 | Buffer: 16522 | 2.69s/ep | Elapsed: 20.9m
Episode 990/5000 | Avg Reward: 46.03 | Avg Length: 23 | Epsilon: 0.138 | Loss: 2.1178 | Buffer: 16750 | 1.93s/ep | Elapsed: 21.2m
Episode 1000/5000 | Avg Reward: 61.69 | Avg Length: 30 | Epsilon: 0.135 | Loss: 1.5290 | Buffer: 17052 | 2.24s/ep | Elapsed: 21.6m
Episode 1010/5000 | Avg Reward: 58.17 | Avg Length: 26 | Epsilon: 0.132 | Loss: 1.7074 | Buffer: 17316 | 1.94s/ep | Elapsed: 21.9m
Episode 1020/5000 | Avg Reward: 54.25 | Avg Length: 26 | Epsilon: 0.130 | Loss: 1.5782 | Buffer: 17581 | 1.95s/ep | Elapsed: 22.2m
Episode 1030/5000 | Avg Reward: 24.10 | Avg Length: 13 | Epsilon: 0.127 | Loss: 1.6045 | Buffer: 17709 | 1.07s/ep | Elapsed: 22.4m
Episode 1040/5000 | Avg Reward: 71.75 | Avg Length: 34 | Epsilon: 0.125 | Loss: 3.7652 | Buffer: 18045 | 2.53s/ep | Elapsed: 22.8m
Episode 1050/5000 | Avg Reward: 97.64 | Avg Length: 46 | Epsilon: 0.122 | Loss: 2.3174 | Buffer: 18505 | 3.55s/ep | Elapsed: 23.4m
Episode 1060/5000 | Avg Reward: 86.14 | Avg Length: 40 | Epsilon: 0.120 | Loss: 2.2416 | Buffer: 18909 | 3.09s/ep | Elapsed: 23.9m
Episode 1070/5000 | Avg Reward: 52.59 | Avg Length: 27 | Epsilon: 0.117 | Loss: 2.6920 | Buffer: 19175 | 1.94s/ep | Elapsed: 24.3m
Episode 1080/5000 | Avg Reward: 54.06 | Avg Length: 26 | Epsilon: 0.115 | Loss: 2.1698 | Buffer: 19433 | 2.18s/ep | Elapsed: 24.6m
Episode 1090/5000 | Avg Reward: 52.72 | Avg Length: 24 | Epsilon: 0.113 | Loss: 1.8561 | Buffer: 19677 | 1.75s/ep | Elapsed: 24.9m
Episode 1100/5000 | Avg Reward: 70.09 | Avg Length: 36 | Epsilon: 0.111 | Loss: 2.6751 | Buffer: 20032 | 2.70s/ep | Elapsed: 25.4m
Episode 1110/5000 | Avg Reward: 75.60 | Avg Length: 35 | Epsilon: 0.108 | Loss: 2.9991 | Buffer: 20380 | 2.65s/ep | Elapsed: 25.8m
Episode 1120/5000 | Avg Reward: 100.49 | Avg Length: 48 | Epsilon: 0.106 | Loss: 2.6807 | Buffer: 20859 | 3.77s/ep | Elapsed: 26.4m
Episode 1130/5000 | Avg Reward: 54.64 | Avg Length: 26 | Epsilon: 0.104 | Loss: 2.6535 | Buffer: 21119 | 1.90s/ep | Elapsed: 26.7m
Episode 1140/5000 | Avg Reward: 46.38 | Avg Length: 24 | Epsilon: 0.102 | Loss: 2.2276 | Buffer: 21355 | 2.00s/ep | Elapsed: 27.1m
Episode 1150/5000 | Avg Reward: 88.96 | Avg Length: 43 | Epsilon: 0.100 | Loss: 2.2669 | Buffer: 21787 | 3.05s/ep | Elapsed: 27.6m
Episode 1160/5000 | Avg Reward: 84.29 | Avg Length: 42 | Epsilon: 0.098 | Loss: 3.9127 | Buffer: 22207 | 3.28s/ep | Elapsed: 28.1m
Episode 1170/5000 | Avg Reward: 90.46 | Avg Length: 41 | Epsilon: 0.096 | Loss: 3.3979 | Buffer: 22617 | 3.17s/ep | Elapsed: 28.7m
Episode 1180/5000 | Avg Reward: 91.36 | Avg Length: 49 | Epsilon: 0.094 | Loss: 2.8929 | Buffer: 23105 | 3.82s/ep | Elapsed: 29.3m
Episode 1190/5000 | Avg Reward: 103.42 | Avg Length: 54 | Epsilon: 0.092 | Loss: 2.7650 | Buffer: 23643 | 4.28s/ep | Elapsed: 30.0m
Episode 1200/5000 | Avg Reward: 104.29 | Avg Length: 50 | Epsilon: 0.091 | Loss: 4.8903 | Buffer: 24147 | 3.66s/ep | Elapsed: 30.6m
Episode 1210/5000 | Avg Reward: 121.64 | Avg Length: 56 | Epsilon: 0.089 | Loss: 3.9508 | Buffer: 24705 | 4.42s/ep | Elapsed: 31.4m
Episode 1220/5000 | Avg Reward: 157.10 | Avg Length: 76 | Epsilon: 0.087 | Loss: 3.3035 | Buffer: 25465 | 5.85s/ep | Elapsed: 32.3m
Episode 1230/5000 | Avg Reward: 118.72 | Avg Length: 57 | Epsilon: 0.085 | Loss: 7.0294 | Buffer: 26032 | 4.18s/ep | Elapsed: 33.0m
Episode 1240/5000 | Avg Reward: 98.35 | Avg Length: 52 | Epsilon: 0.084 | Loss: 4.1982 | Buffer: 26552 | 4.12s/ep | Elapsed: 33.7m
Episode 1250/5000 | Avg Reward: 58.02 | Avg Length: 28 | Epsilon: 0.082 | Loss: 4.1284 | Buffer: 26832 | 2.08s/ep | Elapsed: 34.1m
Episode 1260/5000 | Avg Reward: 100.43 | Avg Length: 53 | Epsilon: 0.080 | Loss: 3.7238 | Buffer: 27365 | 4.22s/ep | Elapsed: 34.8m
Episode 1270/5000 | Avg Reward: 72.30 | Avg Length: 37 | Epsilon: 0.079 | Loss: 3.6216 | Buffer: 27731 | 2.80s/ep | Elapsed: 35.2m
Episode 1280/5000 | Avg Reward: 99.39 | Avg Length: 46 | Epsilon: 0.077 | Loss: 4.7963 | Buffer: 28192 | 3.60s/ep | Elapsed: 35.8m
Episode 1290/5000 | Avg Reward: 111.32 | Avg Length: 55 | Epsilon: 0.076 | Loss: 4.4583 | Buffer: 28743 | 4.07s/ep | Elapsed: 36.5m
Episode 1300/5000 | Avg Reward: 183.67 | Avg Length: 86 | Epsilon: 0.074 | Loss: 3.6448 | Buffer: 29608 | 6.96s/ep | Elapsed: 37.7m
Episode 1310/5000 | Avg Reward: 88.06 | Avg Length: 42 | Epsilon: 0.073 | Loss: 5.0200 | Buffer: 30030 | 3.34s/ep | Elapsed: 38.2m
Episode 1320/5000 | Avg Reward: 74.09 | Avg Length: 40 | Epsilon: 0.071 | Loss: 5.5505 | Buffer: 30434 | 3.12s/ep | Elapsed: 38.7m
Episode 1330/5000 | Avg Reward: 119.56 | Avg Length: 57 | Epsilon: 0.070 | Loss: 4.9274 | Buffer: 31007 | 4.26s/ep | Elapsed: 39.5m
Episode 1340/5000 | Avg Reward: 95.08 | Avg Length: 50 | Epsilon: 0.068 | Loss: 3.4336 | Buffer: 31510 | 3.97s/ep | Elapsed: 40.1m
Episode 1350/5000 | Avg Reward: 146.78 | Avg Length: 70 | Epsilon: 0.067 | Loss: 6.2034 | Buffer: 32212 | 5.34s/ep | Elapsed: 41.0m
Episode 1360/5000 | Avg Reward: 104.95 | Avg Length: 49 | Epsilon: 0.066 | Loss: 4.3739 | Buffer: 32705 | 3.89s/ep | Elapsed: 41.7m
Episode 1370/5000 | Avg Reward: 78.41 | Avg Length: 38 | Epsilon: 0.064 | Loss: 5.2460 | Buffer: 33090 | 2.98s/ep | Elapsed: 42.2m
Episode 1380/5000 | Avg Reward: 91.37 | Avg Length: 43 | Epsilon: 0.063 | Loss: 5.0209 | Buffer: 33523 | 3.37s/ep | Elapsed: 42.7m
Episode 1390/5000 | Avg Reward: 110.72 | Avg Length: 56 | Epsilon: 0.062 | Loss: 7.7063 | Buffer: 34081 | 4.13s/ep | Elapsed: 43.4m
Episode 1400/5000 | Avg Reward: 152.55 | Avg Length: 73 | Epsilon: 0.061 | Loss: 5.1221 | Buffer: 34810 | 5.57s/ep | Elapsed: 44.3m
Episode 1410/5000 | Avg Reward: 147.22 | Avg Length: 68 | Epsilon: 0.059 | Loss: 4.7197 | Buffer: 35492 | 5.44s/ep | Elapsed: 45.2m
Episode 1420/5000 | Avg Reward: 84.27 | Avg Length: 43 | Epsilon: 0.058 | Loss: 4.0133 | Buffer: 35918 | 3.02s/ep | Elapsed: 45.7m
Episode 1430/5000 | Avg Reward: 94.40 | Avg Length: 45 | Epsilon: 0.057 | Loss: 7.2752 | Buffer: 36371 | 3.53s/ep | Elapsed: 46.3m
Episode 1440/5000 | Avg Reward: 90.14 | Avg Length: 41 | Epsilon: 0.056 | Loss: 5.8272 | Buffer: 36783 | 3.18s/ep | Elapsed: 46.9m
Episode 1450/5000 | Avg Reward: 148.11 | Avg Length: 72 | Epsilon: 0.055 | Loss: 5.4473 | Buffer: 37506 | 5.50s/ep | Elapsed: 47.8m
