num_actions: 5
observation_space: (4, 240, 64)
Using device: cuda
conv_output_size: 8320
conv_output_size: 8320
Starting training for 3000 episodes...
Observation shape: (4, 240, 64)
Starting at Level 0: {'vehicles_count': 5, 'vehicles_density': 0.5}
Epsilon: 1.0 -> 0.02 (decay: 0.99)
Ep 930/3000 | Lv: 1 (280/200) | Reward: 147.7 | Crash: 36% | Speed: 28.3 | Len: 73 | Eps: 0.030 | Loss: 0.8280 | 4.45s/ep | 53.8m
Ep 940/3000 | Lv: 1 (290/200) | Reward: 116.6 | Crash: 39% | Speed: 28.3 | Len: 64 | Eps: 0.027 | Loss: 0.8731 | 4.13s/ep | 54.5m
Ep 950/3000 | Lv: 1 (300/200) | Reward: 156.3 | Crash: 36% | Speed: 28.3 | Len: 76 | Eps: 0.025 | Loss: 0.9085 | 4.67s/ep | 55.2m
Ep 960/3000 | Lv: 1 (310/200) | Reward: 124.8 | Crash: 38% | Speed: 28.3 | Len: 66 | Eps: 0.022 | Loss: 0.8423 | 4.19s/ep | 55.9m
Ep 970/3000 | Lv: 1 (320/200) | Reward: 110.8 | Crash: 39% | Speed: 28.4 | Len: 61 | Eps: 0.020 | Loss: 0.7684 | 3.61s/ep | 56.5m
Ep 980/3000 | Lv: 1 (330/200) | Reward: 146.3 | Crash: 37% | Speed: 28.3 | Len: 74 | Eps: 0.020 | Loss: 0.8991 | 4.78s/ep | 57.3m
Ep 990/3000 | Lv: 1 (340/200) | Reward: 145.8 | Crash: 39% | Speed: 28.3 | Len: 73 | Eps: 0.020 | Loss: 0.9463 | 4.49s/ep | 58.1m
Ep 1000/3000 | Lv: 1 (350/200) | Reward: 159.2 | Crash: 38% | Speed: 28.3 | Len: 77 | Eps: 0.020 | Loss: 0.9059 | 5.03s/ep | 58.9m
Ep 1010/3000 | Lv: 1 (360/200) | Reward: 159.1 | Crash: 36% | Speed: 28.3 | Len: 78 | Eps: 0.020 | Loss: 0.9574 | 4.89s/ep | 59.7m
Ep 1020/3000 | Lv: 1 (370/200) | Reward: 180.9 | Crash: 35% | Speed: 28.4 | Len: 84 | Eps: 0.020 | Loss: 0.8687 | 5.24s/ep | 1.0h
Ep 1030/3000 | Lv: 1 (380/200) | Reward: 156.5 | Crash: 35% | Speed: 28.5 | Len: 76 | Eps: 0.020 | Loss: 1.0037 | 4.92s/ep | 1.0h
Ep 1040/3000 | Lv: 1 (390/200) | Reward: 156.7 | Crash: 33% | Speed: 28.5 | Len: 75 | Eps: 0.020 | Loss: 0.9743 | 4.64s/ep | 1.0h
Ep 1050/3000 | Lv: 1 (400/200) | Reward: 190.2 | Crash: 32% | Speed: 28.5 | Len: 88 | Eps: 0.020 | Loss: 1.1439 | 5.56s/ep | 1.1h
Ep 1060/3000 | Lv: 1 (410/200) | Reward: 62.2 | Crash: 35% | Speed: 28.4 | Len: 46 | Eps: 0.020 | Loss: 1.1908 | 2.95s/ep | 1.1h
Ep 1070/3000 | Lv: 1 (420/200) | Reward: 179.4 | Crash: 32% | Speed: 28.4 | Len: 84 | Eps: 0.020 | Loss: 0.9640 | 5.50s/ep | 1.1h
Ep 1080/3000 | Lv: 1 (430/200) | Reward: 156.6 | Crash: 32% | Speed: 28.5 | Len: 77 | Eps: 0.020 | Loss: 0.8916 | 4.77s/ep | 1.1h
Ep 1090/3000 | Lv: 1 (440/200) | Reward: 126.9 | Crash: 32% | Speed: 28.5 | Len: 66 | Eps: 0.020 | Loss: 0.9803 | 4.27s/ep | 1.1h
Ep 1100/3000 | Lv: 1 (450/200) | Reward: 101.1 | Crash: 34% | Speed: 28.5 | Len: 57 | Eps: 0.020 | Loss: 1.5733 | 3.42s/ep | 1.1h
Ep 1110/3000 | Lv: 1 (460/200) | Reward: 112.7 | Crash: 36% | Speed: 28.4 | Len: 64 | Eps: 0.020 | Loss: 1.1530 | 4.10s/ep | 1.1h
Ep 1120/3000 | Lv: 1 (470/200) | Reward: 128.7 | Crash: 38% | Speed: 28.4 | Len: 68 | Eps: 0.020 | Loss: 1.2138 | 4.42s/ep | 1.1h
Ep 1130/3000 | Lv: 1 (480/200) | Reward: 145.2 | Crash: 39% | Speed: 28.3 | Len: 75 | Eps: 0.020 | Loss: 1.2433 | 4.65s/ep | 1.1h
Ep 1140/3000 | Lv: 1 (490/200) | Reward: 157.8 | Crash: 39% | Speed: 28.4 | Len: 78 | Eps: 0.020 | Loss: 1.2364 | 4.84s/ep | 1.2h
Ep 1150/3000 | Lv: 1 (500/200) | Reward: 100.5 | Crash: 43% | Speed: 28.3 | Len: 62 | Eps: 0.020 | Loss: 1.2368 | 3.97s/ep | 1.2h
Ep 1160/3000 | Lv: 1 (510/200) | Reward: 99.5 | Crash: 41% | Speed: 28.4 | Len: 58 | Eps: 0.020 | Loss: 1.1712 | 3.70s/ep | 1.2h
Ep 1170/3000 | Lv: 1 (520/200) | Reward: 205.9 | Crash: 40% | Speed: 28.4 | Len: 92 | Eps: 0.020 | Loss: 1.2849 | 5.82s/ep | 1.2h
Ep 1180/3000 | Lv: 1 (530/200) | Reward: 136.8 | Crash: 41% | Speed: 28.4 | Len: 70 | Eps: 0.020 | Loss: 1.3978 | 4.29s/ep | 1.2h
Ep 1190/3000 | Lv: 1 (540/200) | Reward: 130.8 | Crash: 41% | Speed: 28.4 | Len: 67 | Eps: 0.020 | Loss: 1.1524 | 4.34s/ep | 1.2h
Ep 1200/3000 | Lv: 1 (550/200) | Reward: 208.4 | Crash: 37% | Speed: 28.4 | Len: 94 | Eps: 0.020 | Loss: 1.1898 | 5.96s/ep | 1.2h
Ep 1210/3000 | Lv: 1 (560/200) | Reward: 185.6 | Crash: 34% | Speed: 28.5 | Len: 88 | Eps: 0.020 | Loss: 1.2406 | 5.57s/ep | 1.3h
Ep 1220/3000 | Lv: 1 (570/200) | Reward: 162.4 | Crash: 33% | Speed: 28.5 | Len: 78 | Eps: 0.020 | Loss: 1.2866 | 4.88s/ep | 1.3h
Ep 1230/3000 | Lv: 1 (580/200) | Reward: 144.7 | Crash: 33% | Speed: 28.6 | Len: 72 | Eps: 0.020 | Loss: 1.3663 | 4.73s/ep | 1.3h
Ep 1240/3000 | Lv: 1 (590/200) | Reward: 135.8 | Crash: 34% | Speed: 28.5 | Len: 68 | Eps: 0.020 | Loss: 1.4916 | 4.21s/ep | 1.3h
Ep 1250/3000 | Lv: 1 (600/200) | Reward: 147.2 | Crash: 31% | Speed: 28.6 | Len: 73 | Eps: 0.020 | Loss: 1.1279 | 4.77s/ep | 1.3h
Ep 1260/3000 | Lv: 1 (610/200) | Reward: 146.4 | Crash: 29% | Speed: 28.6 | Len: 73 | Eps: 0.020 | Loss: 1.2517 | 4.58s/ep | 1.3h
Ep 1270/3000 | Lv: 1 (620/200) | Reward: 140.6 | Crash: 32% | Speed: 28.5 | Len: 73 | Eps: 0.020 | Loss: 1.4501 | 4.79s/ep | 1.3h
Ep 1280/3000 | Lv: 1 (630/200) | Reward: 147.6 | Crash: 31% | Speed: 28.5 | Len: 77 | Eps: 0.020 | Loss: 1.6655 | 4.79s/ep | 1.3h
Ep 1290/3000 | Lv: 1 (640/200) | Reward: 128.1 | Crash: 31% | Speed: 28.4 | Len: 71 | Eps: 0.020 | Loss: 1.4299 | 4.62s/ep | 1.4h
Ep 1300/3000 | Lv: 1 (650/200) | Reward: 109.5 | Crash: 35% | Speed: 28.4 | Len: 61 | Eps: 0.020 | Loss: 1.5996 | 3.75s/ep | 1.4h
Ep 1310/3000 | Lv: 1 (660/200) | Reward: 91.3 | Crash: 39% | Speed: 28.4 | Len: 55 | Eps: 0.020 | Loss: 1.8348 | 3.50s/ep | 1.4h
Ep 1320/3000 | Lv: 1 (670/200) | Reward: 118.3 | Crash: 40% | Speed: 28.3 | Len: 64 | Eps: 0.020 | Loss: 1.7083 | 4.18s/ep | 1.4h
Ep 1330/3000 | Lv: 1 (680/200) | Reward: 218.6 | Crash: 36% | Speed: 28.2 | Len: 100 | Eps: 0.020 | Loss: 1.7032 | 6.41s/ep | 1.4h
Ep 1340/3000 | Lv: 1 (690/200) | Reward: 106.4 | Crash: 37% | Speed: 28.2 | Len: 61 | Eps: 0.020 | Loss: 0.9479 | 3.99s/ep | 1.4h
Ep 1350/3000 | Lv: 1 (700/200) | Reward: 82.1 | Crash: 40% | Speed: 28.1 | Len: 51 | Eps: 0.020 | Loss: 1.7357 | 3.59s/ep | 1.4h
Ep 1360/3000 | Lv: 1 (710/200) | Reward: 35.0 | Crash: 45% | Speed: 28.0 | Len: 38 | Eps: 0.020 | Loss: 1.8592 | 2.58s/ep | 1.4h
Ep 1370/3000 | Lv: 1 (720/200) | Reward: 182.1 | Crash: 43% | Speed: 28.0 | Len: 88 | Eps: 0.020 | Loss: 1.8072 | 5.89s/ep | 1.5h
Ep 1380/3000 | Lv: 1 (730/200) | Reward: 110.4 | Crash: 45% | Speed: 28.1 | Len: 61 | Eps: 0.020 | Loss: 1.9347 | 4.20s/ep | 1.5h
Ep 1390/3000 | Lv: 1 (740/200) | Reward: 173.7 | Crash: 43% | Speed: 28.2 | Len: 83 | Eps: 0.020 | Loss: 1.7679 | 5.51s/ep | 1.5h
